id;query;logical_query;ratio_executed_to_possible_executions;len;time_forced;time_non_forced
857ee84c1d9f6793087de0e99a558b6f9f3dce9bd6e2f300b4783e8284f09042;SELECT count(*) FROM deliverer as del JOIN [order] as ord ON ord.deliverer_id = del.id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN customer as cus ON cus.id = ord.customer_id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;10.843858480453491;4.84369421005249
ce408487216a2f73e28b13e5283e17049111101ef71cf59cd1b5a56ce54358a3;SELECT count(*) FROM deliverer as del JOIN [order] as ord ON ord.deliverer_id = del.id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN customer as cus ON cus.id = ord.customer_id JOIN discount as dis ON dis.id = ord.discount_id JOIN product as prod ON prod.id = ord_det.product_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;11.453057527542114;4.890779972076416
401db28627aeab73f1539e173313f11cac6da04a96b1840e6ec5cb4ea20b5037;SELECT count(*) FROM [order] as ord JOIN customer as cus ON cus.id = ord.customer_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id JOIN product as prod ON prod.id = ord_det.product_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;13.218400716781616;5.093843460083008
91921b61410bea28b8446ccbb8277b54684dace1b2567ec4f1c7315ccb576c23;SELECT count(*) FROM [order] as ord JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN customer as cus ON cus.id = ord.customer_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN discount as dis ON dis.id = ord.discount_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;14.843780279159546;5.093717098236084
b0bd6ed686ea1f9bf775b91251c662372dc57d2f3306402151dda7e45b653a29;SELECT count(*) FROM [order] as ord JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN customer as cus ON cus.id = ord.customer_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;11.218724966049194;4.874785661697388
4f2bc43519035bb84209fe01f9b8319af797dde5e194f7402819fa11a8a4e698;SELECT count(*) FROM [order] as ord JOIN discount as dis ON dis.id = ord.discount_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN customer as cus ON cus.id = ord.customer_id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;12.140501737594604;5.094113826751709
f1679b3cb961fe6027bfd5d0cbbe3d39f3ffd12debc998da971b74e2fe53d9ac;SELECT count(*) FROM deliverer as del JOIN [order] as ord ON ord.deliverer_id = del.id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN product as prod ON prod.id = ord_det.product_id JOIN discount as dis ON dis.id = ord.discount_id JOIN customer as cus ON cus.id = ord.customer_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;10.64041805267334;4.84379243850708
c3b68040aeff300b526ca29ef6f6472fc590e13a0ad896b05604c6c3b69a9cf1;SELECT count(*) FROM [order] as ord JOIN discount as dis ON dis.id = ord.discount_id JOIN deliverer as del ON del.id = ord.deliverer_id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN customer as cus ON cus.id = ord.customer_id JOIN product as prod ON prod.id = ord_det.product_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;11.109539270401001;4.843509674072266
4e3168b77cad13a438c5c0bf263b538c4e336d85414f1bb5a21a19fb426ff29d;SELECT count(*) FROM discount as dis JOIN [order] as ord ON ord.discount_id = dis.id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN customer as cus ON cus.id = ord.customer_id JOIN product as prod ON prod.id = ord_det.product_id JOIN deliverer as del ON del.id = ord.deliverer_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;10.656276941299438;4.953145503997803
2e77c787cfc7015b62863be5663238e30647034045c2b48d48f44a301e619832;SELECT count(*) FROM deliverer as del JOIN [order] as ord ON ord.deliverer_id = del.id JOIN order_details as ord_det ON ord_det.order_id = ord.id JOIN discount as dis ON dis.id = ord.discount_id JOIN customer as cus ON cus.id = ord.customer_id JOIN product as prod ON prod.id = ord_det.product_id;('customer', 'deliverer', 'discount', 'order', 'order_details', 'product');0.7575757575757576;6;10.171738624572754;4.843578338623047
