hash,query,tables,ratio,nr of tables,time s,time optimizer s,order
234dfdd6ebaea5f0c1586f16352ec8928466a0823410de552e1f7792e07549a5,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM subcategory as sub
JOIN product as prod
ON prod.subcategory_id = sub.id
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product', 'subcategory')",1,5,60.75020742,56.04009628,15
492cee559b298e7ecb3ff1a51b9a200b8b4baaa814d2c97f35599f15e1d6fe14,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,90.34196997,104.3982606,0
41f628a3bd51e4c6635884d9d8a151b54ff9ea19a1ce1bb28d72502d3a981834,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,87.6813302,107.2305882,1
528a183e23c9fa9dab684fd693617cd1bcf56596e6ad606eb4891b8fd0444cf3,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,90.68693686,103.571039,2
68a0f9c4a7f8e84d84c094db1f3392fc4f412d2ca39cfe4dcf29b3e5502d2e89,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,88.71391296,103.9498475,3
51ee3ee4a3df8f02ed481ca38041c556d2db2733585e36169691e132cf50efeb,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,138.092737,104.3753073,4
d28e4501beb5d2014a3709b734e09dccfb396aae3871b204abe9542f3320e418,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,121.4295142,100.7578053,5
df7da1b4b83b16977d5cd8a2414370b0fcf5f79110c3a8456cdb10bbb0066946,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,143.5952179,103.8076231,6
41f628a3bd51e4c6635884d9d8a151b54ff9ea19a1ce1bb28d72502d3a981834,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,87.26184297,100.9709332,7
987f4a779d1cb9653f567118cd28028fdfc24a73501a345eab867c40952b800c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,100.1702666,104.2140915,8
d28e4501beb5d2014a3709b734e09dccfb396aae3871b204abe9542f3320e418,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,125.3059287,106.1504598,9
68dec29e138714d274a9ba7dd680a44e0ab0efc800de6cee1f4e2813af15401d,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'discount', 'order', 'order_details', 'product')",0.757575758,6,93.85919452,104.4807088,10
